GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Activite02Exercice03,main.java,Grille,0,68,0,0,0,1,0,1,0,1
Activite02Exercice03,main.java,GrilleImpl,0,344,0,54,0,73,0,40,0,13
